ID,Landuse2009,D_station,D_Road,D_River,D_Open,Pop_density,DEM,Slope,Entropy,Landvalue,Area,Zone,Results,Landuse2014
13891,3,1123.6,247.507,32.5916,33.3827,6953.03,10.8045,12.9598,0.673754,14335922.01,1766.413865,3,1,3
13892,3,1071.72,64.5224,136.533,129.947,12834.6,13.8997,3.94268,0.688833,9305740.366,1270.952079,3,1,3
13893,3,1036.52,51.8357,158.486,149.277,12834.6,13.2294,2.60464,0.636876,8474115.887,3252.21431,3,1,3
13894,3,916.458,150.138,110.367,104.884,8951.89,16.4943,2.39157,0.683365,15255760.96,1692.824915,3,1,3
13895,2,942.369,197.181,14.9868,16.1008,8951.89,7.27652,13.2616,0.690663,28899329.83,816.230428,2,1,2
13896,2,1367.72,99.4175,359.029,279.912,4135.51,10.7837,3.60252,0.562794,10261236.06,1176.639268,2,1,2
13897,2,1116.73,92.2678,344.052,335.82,4648.79,13.8624,3.33278,0.634109,10452078.74,831.6326888,2,1,2
13898,3,1299.36,38.0849,22.8379,25.4386,6604.31,4.10643,4.78031,0.622848,26351249.71,2633.491094,3,1,3
13899,3,1205.54,78.7065,134.417,127.351,6604.31,8.91978,8.54278,0.688574,11823879.89,971.3649579,2,1,3
13900,3,1650.4,327.654,68.1271,25.1464,4563.11,4.16091,3.00918,0.756576,21654899.99,809.2839619,3,1,3
13901,2,584.629,71.1922,595.77,81.8772,4609.7,8.37168,1.46644,0.748594,7753650.495,628.7787065,1,1,2
13902,2,520.23,67.263,742.419,74.5319,3688.5,5.93074,1.09406,0.796843,6525707.209,713.043737,1,1,2
13903,2,748.805,84.4938,79.116,19.072,8343.24,5.3485,2.199,0.727888,22916736.8,800.302794,3,1,2
13904,3,794.363,90.9391,70.8408,32.2139,8343.24,4.43958,3.45479,0.740122,17725759.76,810.1653407,3,1,3
13905,2,147.525,151.201,352.79,257.616,5671.93,21.9781,3.93709,0.759182,9008273.142,1028.23971,2,1,2
13906,2,107.338,110.852,312.471,249.234,5671.93,24.7774,3.33288,0.815432,8887993.119,1012.891454,2,1,2
13907,3,382.151,36.844,577.621,369.346,8362.78,18.028,1.4988,0.69624,10973646.13,1022.697804,2,1,3
13908,2,127.269,37.0339,295.253,226.288,8585.16,21.5531,4.20316,0.725771,9832548.39,1017.216513,2,1,2
13909,2,114.296,37.0476,275.155,206.062,8585.16,22.5348,5.15282,0.718198,9809682.179,1017.180795,2,1,2
13910,2,247.112,36.9329,436.22,361.354,8362.78,20.1947,0.635124,0.698008,10783134.18,1011.478984,2,1,2
13911,2,157.867,37.0032,335.442,266.685,8585.16,20.3301,3.90266,0.703507,9650812.211,1011.710903,2,1,2
13912,2,422.186,93.9592,201.428,30.9905,6470.84,25.1427,1.76503,0.678025,10387255.23,1003.896864,2,1,2
13913,3,458.062,27.0835,277.967,45.3387,6470.84,20.7146,5.12429,0.681931,11711217.72,1934.611415,2,1,3
13914,2,245.991,60.3345,179.243,82.6428,6181.86,17.9645,3.84579,0.777385,8223496.889,525.3881629,2,1,2
13915,3,453.888,258.454,45.2999,47.2404,7561.83,14.8287,19.0607,0.777584,24346761.79,1890.829633,3,1,3
13916,3,453.152,33.6136,643.1,315.061,6478.64,18.3773,2.16294,0.656304,10288361.07,1190.579908,2,1,3
13917,2,278.353,31.461,445.335,312.65,6478.64,19.4982,2.31239,0.713985,9643124.483,1052.254907,2,1,2
13918,3,601.404,82.6988,493.351,105.473,5616.55,7.29675,8.4763,0.58705,9793845.987,1164.693851,2,1,3
13919,3,448.07,36.2925,335.317,55.2008,6470.84,15.1917,5.94427,0.692118,10455586.46,1163.504075,2,1,3
13920,2,606.999,31.138,396.25,126.021,5616.55,19.8197,6.70731,0.59374,10345202.15,933.6581407,2,1,2
13921,2,674.435,174.485,248.193,242.779,7980.7,18.6951,4.8647,0.588909,11701974.37,1515.954414,2,1,2
13922,2,544.815,106.601,242.093,130.042,9570.62,25.14,2.4429,0.708604,10350743.49,797.0801127,2,1,2
13923,2,622.01,96.8196,291.671,202.806,9570.62,25.2214,2.9804,0.691264,10094926.01,1123.943204,2,1,2
13924,1,808.351,118.086,286.039,147.977,3590.76,8.71577,7.23264,0.736899,9719072.364,388.3659791,1,1,1
13925,2,695.702,32.4161,438.584,57.3843,3888.73,21.6602,4.33594,0.636765,6981411.315,454.2332386,2,1,2
13926,2,876.42,32.3624,539.624,81.8752,4840.01,10.5439,5.26139,0.641794,8039839.223,717.5116661,2,1,2
13927,2,861.281,32.2049,530.477,69.1088,4840.01,11.788,5.02656,0.65343,8655000.468,690.9756412,2,1,2
13928,2,954.738,31.5964,484.764,128.176,4840.01,4.69483,4.9323,0.553355,8961499.269,568.189435,2,1,2
13929,2,766.428,105.844,164.453,151.308,6241.3,21.0599,6.43383,0.730272,11714223.56,910.5458386,1,1,2
13930,2,934.946,26.1406,85.5777,93.3726,6241.3,4.22724,2.53834,0.787639,19179421.85,712.9113734,3,1,2
13931,2,587.374,262.394,329.131,76.5566,15434.9,15.5523,6.43164,0.640006,9361217.795,1214.083794,3,1,2
13932,2,896.633,39.3983,92.8479,106.836,6241.3,5.76257,5.48665,0.788485,17453660.85,1953.402824,3,1,2
13933,2,1134.89,54.5385,151.687,140.231,11079.9,2.8568,1.02282,0.803322,12074257.14,1096.720763,3,1,2
13934,2,1119.72,26.0296,177.745,166.88,11079.9,2.88332,0.739918,0.799861,9740750.669,1722.806934,3,1,2
13935,2,1093.69,31.4299,118.506,103.382,11079.9,3.34693,3.44735,0.842186,11920614.6,1724.32373,3,1,2
13936,2,1038,30.4837,354.47,25.239,7194.4,3.63083,2.19438,0.702299,6657264.17,793.3912178,1,1,2
13937,2,1014.27,31.9176,440.601,74.7707,4840.01,2.74858,2.10401,0.722989,7676110.961,1008.005857,2,1,2
13938,2,1064.67,31.445,279.264,86.9239,7194.4,2.79655,1.86408,0.756167,7839701.024,760.9593769,1,1,2
